AFRINIC Allocated Address Table
-------------------------------

Origin AS       Network
 36994          41.0.0.0/16
 36994          41.0.0.0/18
 36994          41.0.0.0/20
 36994          41.0.2.0/24
 36994          41.0.5.0/24
 36994          41.0.6.0/24
 36994          41.0.8.0/24
 36994          41.0.20.0/22
 36994          41.0.24.0/24
 36994          41.0.32.0/24
 36994          41.0.34.0/24
 36994          41.0.47.0/24
 36994          41.0.48.0/20
 36994          41.0.48.0/21
 36994          41.0.56.0/21
 36994          41.0.58.0/24
 36994          41.0.59.0/24
 36994          41.0.70.0/24
 36994          41.0.84.0/22
 36994          41.0.88.0/23
 36994          41.0.90.0/24
 36994          41.0.92.0/23
 36994          41.0.96.0/22
 36994          41.0.128.0/20
 36994          41.0.144.0/20
 36994          41.0.147.0/24
 36994          41.0.158.0/24
 36994          41.0.160.0/20
 36994          41.0.166.0/24
 36994          41.0.176.0/21
 36994          41.0.177.0/24
 36994          41.0.184.0/22
 36994          41.0.192.0/20
 36994          41.0.201.0/24
 36994          41.0.208.0/22
 36994          41.0.212.0/22
 36994          41.0.216.0/21
 36994          41.0.224.0/21
 36994          41.0.236.0/24
 36994          41.0.248.0/24
 36994          41.0.253.0/24
 29975          41.1.0.0/18
 29975          41.1.64.0/18
 29975          41.1.128.0/18
 29975          41.1.192.0/18
 29975          41.1.254.0/24
 29975          41.2.0.0/18
 29975          41.2.64.0/18
 29975          41.2.128.0/18
 29975          41.2.192.0/18
 29975          41.3.0.0/18
 29975          41.3.64.0/18
 29975          41.3.128.0/18
 29975          41.3.192.0/18
 29975          41.4.0.0/18
 29975          41.4.64.0/18
 29975          41.4.128.0/18
 29975          41.4.192.0/18
 29975          41.5.0.0/18
 29975          41.5.64.0/18
 29975          41.5.128.0/18
 29975          41.5.192.0/18
 29975          41.6.0.0/18
 29975          41.6.64.0/18
 29975          41.6.128.0/18
 29975          41.6.192.0/18
 29975          41.7.0.0/18
 29975          41.7.64.0/18
 29975          41.7.128.0/18
 29975          41.7.192.0/18
 29975          41.8.0.0/18
 29975          41.8.64.0/18
 29975          41.8.128.0/18
 29975          41.8.192.0/18
 29975          41.9.0.0/18
 29975          41.9.64.0/18
 29975          41.9.128.0/18
 29975          41.9.192.0/18
 29975          41.10.0.0/18
 29975          41.10.64.0/18
 29975          41.10.128.0/18
 29975          41.10.192.0/18
 29975          41.11.0.0/18
 29975          41.11.64.0/18
 29975          41.11.128.0/18
 29975          41.11.192.0/18
 29975          41.12.0.0/18
 29975          41.12.64.0/18
 29975          41.12.128.0/18
 29975          41.12.192.0/18
 29975          41.13.0.0/18
 29975          41.13.64.0/18
 29975          41.13.128.0/18
 29975          41.13.192.0/18
 29975          41.14.0.0/18
 29975          41.14.64.0/18
 29975          41.14.128.0/18
 29975          41.14.192.0/18
 29975          41.15.0.0/18
 29975          41.15.64.0/18
 29975          41.15.128.0/18
 29975          41.15.192.0/18
 29975          41.16.0.0/18
 29975          41.16.64.0/18
 29975          41.16.128.0/18
 29975          41.16.192.0/18
 29975          41.17.0.0/18
 29975          41.17.64.0/18
 29975          41.17.128.0/18
 29975          41.17.192.0/18
 29975          41.18.0.0/18
 29975          41.18.64.0/18
 29975          41.18.128.0/18
 29975          41.18.192.0/18
 29975          41.19.0.0/18
 29975          41.19.64.0/18
 29975          41.19.128.0/18
 29975          41.19.192.0/18
 36994          41.21.128.0/17
 36994          41.21.128.0/20
 36994          41.21.138.0/23
 36994          41.21.232.0/23
 36994          41.21.252.0/23
 29975          41.22.0.0/18
 29975          41.22.64.0/18
 29975          41.22.128.0/18
 29975          41.22.192.0/18
 29975          41.23.0.0/18
 29975          41.23.64.0/18
 29975          41.23.128.0/18
 29975          41.23.192.0/18
 29975          41.24.240.0/20
 29975          41.26.0.0/18
 29975          41.26.64.0/18
 29975          41.26.128.0/18
 29975          41.26.192.0/18
 29975          41.27.0.0/18
 29975          41.27.64.0/18
 29975          41.27.128.0/18
 29975          41.27.192.0/18
 29975          41.28.0.0/18
 29975          41.28.64.0/18
 29975          41.28.128.0/18
 29975          41.28.192.0/18
 29975          41.29.0.0/18
 29975          41.29.64.0/18
 29975          41.29.128.0/18
 29975          41.29.192.0/18
 29975          41.30.0.0/18
 29975          41.30.64.0/18
 29975          41.30.128.0/18
 29975          41.30.192.0/18
 29975          41.31.0.0/18
 29975          41.31.64.0/18
 29975          41.31.128.0/18
 29975          41.31.192.0/18
  8452          41.32.0.0/12
  8452          41.32.0.0/16
  8452          41.32.0.0/24
  8452          41.32.1.0/24
  8452          41.32.2.0/24
  8452          41.32.3.0/24
  8452          41.32.4.0/24
  8452          41.32.6.0/24
  8452          41.32.7.0/24
  8452          41.32.8.0/24
  8452          41.32.11.0/24
  8452          41.32.14.0/24
  8452          41.32.15.0/24
  8452          41.32.19.0/24
  8452          41.32.20.0/24
  8452          41.32.21.0/24
