APNIC Allocated Address Table
-----------------------------

Origin AS       Network
 15169          1.0.0.0/24
 56203          1.0.4.0/24
 56203          1.0.5.0/24
 56203          1.0.6.0/24
 56203          1.0.7.0/24
 24155          1.0.38.0/24
 24155          1.0.43.0/24
 24155          1.0.44.0/24
 24155          1.0.45.0/24
 24155          1.0.47.0/24
 24155          1.0.48.0/24
 18144          1.0.64.0/18
  9737          1.0.128.0/17
  9737          1.0.128.0/18
 23969          1.0.129.0/24
 23969          1.0.130.0/24
 23969          1.0.131.0/24
 23969          1.0.138.0/24
 23969          1.0.139.0/24
  9737          1.0.160.0/19
  9737          1.0.192.0/18
 23969          1.0.192.0/21
 23969          1.0.204.0/22
 23969          1.0.208.0/22
 23969          1.0.212.0/23
  9737          1.0.224.0/19
 15169          1.1.1.0/24
  4134          1.1.8.0/24
  2519          1.1.64.0/19
  2519          1.1.114.0/24
  2519          1.1.115.0/24
  2519          1.1.116.0/24
  2519          1.1.117.0/24
  2519          1.1.118.0/24
  2519          1.1.119.0/24
  2519          1.1.120.0/24
  2519          1.1.121.0/24
  2519          1.1.122.0/24
  2519          1.1.123.0/24
  2519          1.1.124.0/24
  2519          1.1.125.0/24
  2519          1.1.126.0/24
  2519          1.1.127.0/24
  9737          1.1.128.0/17
 23969          1.1.176.0/22
 23969          1.1.180.0/24
 23969          1.1.181.0/24
 23969          1.1.254.0/23
 15169          1.2.3.0/24
 24151          1.2.4.0/24
  9737          1.2.128.0/17
  9737          1.2.128.0/18
  9737          1.2.128.0/19
  9737          1.2.160.0/19
 23969          1.2.170.0/24
 23969          1.2.179.0/24
 23969          1.2.180.0/24
 23969          1.2.181.0/24
 23969          1.2.183.0/24
 24155          1.3.10.0/24
 24155          1.3.11.0/24
 24155          1.3.20.0/24
 24155          1.3.21.0/24
 18042          1.3.22.0/24
 18042          1.3.23.0/24
 18042          1.3.24.0/24
 23456          1.3.50.0/24
  9737          1.4.128.0/17
  9737          1.4.128.0/18
  9737          1.4.128.0/19
 23969          1.4.206.0/23
 23969          1.4.209.0/24
 23969          1.4.212.0/22
  4725          1.5.0.0/16
 38345          1.8.1.0/24
 38345          1.8.8.0/24
 38345          1.8.101.0/24
 38345          1.8.102.0/24
 38345          1.8.103.0/24
 38345          1.8.104.0/24
 38345          1.8.150.0/24
 38345          1.8.151.0/24
 38345          1.8.152.0/24
 38345          1.8.153.0/24
 38345          1.8.238.0/24
 38345          1.8.239.0/24
 38345          1.8.240.0/24
 38345          1.8.241.0/24
 38345          1.8.242.0/24
 38345          1.8.243.0/24
  4788          1.9.0.0/16
  4788          1.9.21.0/24
  4788          1.9.52.0/24
  4788          1.9.53.0/24
  4788          1.9.54.0/24
  4788          1.9.55.0/24
  4788          1.9.112.0/24
  4788          1.9.113.0/24
  4788          1.9.114.0/24
  4788          1.9.115.0/24
  4788          1.9.122.0/24
  4788          1.9.123.0/24
  4788          1.9.152.0/24
  4788          1.9.153.0/24
  4788          1.9.156.0/24
  4788          1.9.157.0/24
  4788          1.9.158.0/24
  4788          1.9.159.0/24
  4788          1.9.176.0/24
  4788          1.9.177.0/24
  4788          1.9.178.0/24
  4788          1.9.179.0/24
  4788          1.9.181.0/24
  4788          1.9.182.0/24
  4788          1.9.183.0/24
  4788          1.9.184.0/24
  4788          1.9.185.0/24
  4788          1.9.187.0/24
  4788          1.9.204.0/24
  4788          1.9.205.0/24
 23456          1.10.64.0/24
 23456          1.10.65.0/24
 23456          1.10.88.0/24
 23969          1.10.128.0/22
 23969          1.10.132.0/22
 23969          1.10.136.0/22
  9737          1.10.192.0/19
  9737          1.10.224.0/19
 23969          1.10.224.0/20
 18313          1.11.0.0/21
 18313          1.11.8.0/21
 18313          1.11.16.0/21
 18313          1.11.24.0/21
 18313          1.11.32.0/21
 18313          1.11.40.0/21
 18313          1.11.48.0/21
 18313          1.11.56.0/21
 38091          1.11.64.0/21
 38091          1.11.72.0/21
 38091          1.11.80.0/21
 38091          1.11.88.0/21
 45996          1.11.92.0/23
 45996          1.11.94.0/24
 38669          1.11.96.0/22
 38669          1.11.100.0/22
 38669          1.11.104.0/22
 38669          1.11.108.0/22
 38669          1.11.112.0/22
 38669          1.11.116.0/22
 38669          1.11.120.0/22
 38669          1.11.124.0/22
 17839          1.11.128.0/17
 18245          1.12.0.0/14
 45996          1.16.0.0/18
  9700          1.18.117.0/24
 23600          1.18.119.0/24
 23599          1.18.122.0/24
 23599          1.18.123.0/24
 23599          1.18.125.0/24
 23599          1.18.126.0/24
 23596          1.18.127.0/24
 23596          1.18.128.0/24
 23596          1.18.130.0/24
 23600          1.18.134.0/24
 56120          1.20.0.0/17
 56120          1.20.0.0/24
 56120          1.20.1.0/24
 56120          1.20.2.0/24
 56120          1.20.3.0/24
 56120          1.20.4.0/22
 56120          1.20.8.0/21
 56120          1.20.16.0/20
 56120          1.20.32.0/20
 56120          1.20.48.0/21
 56120          1.20.56.0/22
 56120          1.20.125.0/24
 56120          1.20.126.0/24
  9737          1.20.128.0/17
  9737          1.20.128.0/18
  9737          1.20.128.0/19
 23969          1.20.150.0/24
 23969          1.20.153.0/24
 23969          1.20.155.0/24
  9737          1.20.160.0/19
 23969          1.20.186.0/23
  9737          1.20.192.0/18
  9737          1.20.192.0/19
 23969          1.20.193.0/24
 23969          1.20.202.0/23
 23969          1.20.204.0/24
 23969          1.20.205.0/24
 23969          1.20.208.0/24
 23969          1.20.209.0/24
 23969          1.20.218.0/24
 23969          1.20.220.0/23
  9737          1.20.224.0/19
 23969          1.20.254.0/24
  2519          1.21.0.0/16
 45528          1.22.0.0/23
 45528          1.22.0.0/24
 45528          1.22.1.0/24
 45528          1.22.2.0/24
 45528          1.22.3.0/24
 45528          1.22.4.0/24
 45528          1.22.5.0/24
 45528          1.22.6.0/24
 45528          1.22.7.0/24
 45528          1.22.8.0/23
 45528          1.22.8.0/24
 45528          1.22.9.0/24
 45528          1.22.10.0/24
 45528          1.22.11.0/24
 45528          1.22.12.0/24
 45528          1.22.13.0/24
 45528          1.22.14.0/24
 45528          1.22.15.0/24
 45528          1.22.16.0/22
 45528          1.22.16.0/23
 45528          1.22.16.0/24
 45528          1.22.17.0/24
 45528          1.22.18.0/23
 45528          1.22.18.0/24
 45528          1.22.19.0/24
 45528          1.22.20.0/22
 45528          1.22.20.0/24
 45528          1.22.21.0/24
 45528          1.22.22.0/24
 45528          1.22.23.0/24
 45528          1.22.24.0/23
 45528          1.22.24.0/24
 45528          1.22.25.0/24
 45528          1.22.26.0/24
 45528          1.22.27.0/24
 45528          1.22.28.0/23
 45528          1.22.28.0/24
 45528          1.22.29.0/24
 45528          1.22.30.0/24
 45528          1.22.31.0/24
 45528          1.22.32.0/22
 45528          1.22.32.0/24
 45528          1.22.33.0/24
 45528          1.22.34.0/24
 45528          1.22.35.0/24
 45528          1.22.36.0/24
 45528          1.22.37.0/24
 45528          1.22.38.0/23
 45528          1.22.40.0/22
 45528          1.22.40.0/24
 45528          1.22.41.0/24
 45528          1.22.42.0/24
 45528          1.22.43.0/24
 45528          1.22.44.0/24
 45528          1.22.45.0/24
 45528          1.22.46.0/24
 45528          1.22.47.0/24
 45528          1.22.48.0/23
 45528          1.22.48.0/24
 45528          1.22.49.0/24
 45528          1.22.50.0/24
 45528          1.22.51.0/24
 45528          1.22.52.0/24
 45528          1.22.53.0/24
 45528          1.22.54.0/24
 45528          1.22.55.0/24
 45528          1.22.57.0/24
 45528          1.22.58.0/23
 45528          1.22.58.0/24
 45528          1.22.59.0/24
 45528          1.22.60.0/22
 45528          1.22.60.0/24
 45528          1.22.61.0/24
 45528          1.22.62.0/24
 45528          1.22.63.0/24
 45528          1.22.64.0/22
 45528          1.22.64.0/24
 45528          1.22.65.0/24
 45528          1.22.66.0/24
